File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,4
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019144_aid0001,aid0001,2019-05-24 00:26:57+00:00,04993,005,0601,True,242818,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019144_aid0001,aid0001,2019-05-24 00:27:49+00:00,04993,006,0601,True,458336,54807.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019146_aid0001,aid0001,2019-05-26 23:35:57+00:00,05039,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019150_aid0001,aid0001,2019-05-30 21:53:56+00:00,05100,005,0601,True,10651,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019150_aid0001,aid0001,2019-05-30 21:54:48+00:00,05100,006,0601,True,707570,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019153_aid0001,aid0001,2019-06-02 21:02:57+00:00,05146,006,0601,True,178630,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019157_aid0001,aid0001,2019-06-06 19:21:49+00:00,05207,006,0601,True,702193,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019158_aid0001,aid0001,2019-06-07 18:31:42+00:00,05222,007,0601,True,327119,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019158_aid0001,aid0001,2019-06-07 18:32:34+00:00,05222,008,0601,True,18765,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019159_aid0001,aid0001,2019-06-08 01:01:02+00:00,05226,005,0601,True,625814,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019161_aid0001,aid0001,2019-06-10 17:40:20+00:00,05268,006,0601,True,710789,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019162_aid0001,aid0001,2019-06-11 00:09:12+00:00,05272,005,0601,True,67359,,
