File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021243142358_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-08-31 14:23:58 UTC,17881,008,0601,True,245035.0,0.0,4.4118261,"(0.0,4.4118261)",1.7283523,0.6301235,0.3970556,2.1362772,3.2152526,1.8205905,0.337747,1.4168606
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021247125234_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-09-04 12:52:34 UTC,17942,008,0601,True,7328.0,3.5214682,7.2378211,"(3.5214682,7.2378211)",4.9599843,0.5633817,0.3173989,5.3599727,6.5584259,4.9066663,3.5214682,4.5357172
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021282163711_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-10-09 16:37:11 UTC,18487,008,0601,True,399442.0,0.0,3.9511766,"(0.0,3.9511766)",2.4340689,0.5544524,0.3074174,2.7931308,3.6937435,2.5218656,1.2911425,2.1923275
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021283154955_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-10-10 15:49:55 UTC,18502,008,0601,True,3426.0,0.7319891,3.0420399,"(0.7319891,3.0420399)",1.8944798,0.3523534,0.1241529,2.0738241,2.6140847,1.8585721,1.0777022,1.6747973
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021283222011_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-10-10 22:20:11 UTC,18506,010,0601,True,637701.0,0.0,5.4991202,"(0.0,5.4991202)",1.921896,0.9369469,0.8778694,2.5978024,4.2155209,2.2431145,0.0,1.3844852
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021290133243_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-10-17 13:32:43 UTC,18610,009,0601,True,284.0,1.0587138,2.2375808,"(1.0587138,2.2375808)",1.7922815,0.2216962,0.0491492,1.9622986,2.2375808,1.8229117,1.2522447,1.6646571
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2021299161153_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2021-10-26 16:11:53 UTC,18752,008,0601,True,141709.0,0.0,2.9193079,"(0.0,2.9193079)",2.3796566,0.2312999,0.0534997,2.4873321,2.7540402,2.4018526,2.0427337,2.3094871
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2022109122223_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2022-04-19 12:22:23 UTC,21464,005,0601,True,246.0,0.01,0.01,"(0.01,0.01)",0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2022109185146_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2022-04-19 18:51:46 UTC,21468,008,0601,True,78419.0,0.0,6.2084746,"(0.0,6.2084746)",2.7079771,0.8812892,0.7766706,3.3161527,5.1431098,2.6643846,0.2666964,2.0962685
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2022112180256_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2022-04-22 18:02:56 UTC,21514,009,0601,True,40434.0,0.0,4.427711,"(0.0,4.427711)",3.4464421,0.2665029,0.0710238,3.6273506,4.1179051,3.4728537,2.7897537,3.2923036
