File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021243142358_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-08-31 14:23:58 UTC,17881,008,0601,True,250561.0,29.1356869,212.9953461,"(29.1356869,212.9953461)",80.6328354,26.0409393,678.1305212,87.5706406,122.0706558,74.94207,30.2014885,64.5645142
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021247125234_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-09-04 12:52:34 UTC,17942,008,0601,True,7328.0,65.2435837,216.6445312,"(65.2435837,216.6445312)",154.0512085,24.3997459,595.347602,172.0395699,216.6445312,156.9875793,93.664978,140.6389046
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021282163711_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-09 16:37:11 UTC,18487,008,0601,True,396917.0,63.2993965,233.4783936,"(63.2993965,233.4783936)",135.7525482,24.746315,612.3801062,150.3655701,194.7265625,134.2146301,76.4342422,120.7909088
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021283154955_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-10 15:49:55 UTC,18502,008,0601,True,3426.0,56.4633446,102.6584778,"(56.4633446,102.6584778)",85.6007004,6.6366811,44.0455358,90.0960541,99.6544037,85.7623634,74.1981506,83.698822
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021283222011_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-10 22:20:11 UTC,18506,010,0601,True,640519.0,0.0772342,182.9143677,"(0.0772342,182.9143677)",43.3805008,23.9845524,575.258753,59.8774796,111.5120621,37.2411995,0.0772342,25.4535713
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021290133243_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-17 13:32:43 UTC,18610,009,0601,True,284.0,37.3250618,47.2416611,"(37.3250618,47.2416611)",43.301075,3.9880428,15.9044856,46.4326572,47.2416611,45.8603382,37.3250618,37.9479923
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021291191607_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-18 19:16:07 UTC,18629,008,0601,True,709325.0,0.3280526,208.3928223,"(0.3280526,208.3928223)",60.0799446,21.3773327,456.9903528,71.5046082,108.1712646,58.2321243,10.3965273,47.0595818
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021299161153_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-10-26 16:11:53 UTC,18752,008,0601,True,140777.0,52.8674431,160.8799591,"(52.8674431,160.8799591)",105.7966156,8.9138393,79.4565318,108.4277802,117.1557083,105.3473816,93.8739853,102.6059723
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021334195336_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-11-30 19:53:36 UTC,19297,009,0601,True,416176.0,46.411026,251.1687622,"(46.411026,251.1687622)",68.2212296,15.3112717,234.4350401,69.5894928,81.3839874,65.0681381,50.1001396,61.7262659
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2021334195428_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2021-11-30 19:54:28 UTC,19297,010,0601,True,270.0,0.3284225,13.3974304,"(0.3284225,13.3974304)",4.142622,1.983435,3.9340145,5.1150446,8.3763609,3.8793964,0.3284225,2.8626847
