File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021243142358_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-08-31 14:23:58 UTC,17881,008,0601,True,250561.0,52.3679237,390.0930176,"(52.3679237,390.0930176)",156.57341,53.4036522,2851.9500674,174.2053375,250.0131226,144.9102631,52.3679237,123.6620026
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021247125234_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-09-04 12:52:34 UTC,17942,008,0601,True,7328.0,215.486969,274.9931335,"(215.486969,274.9931335)",236.4262695,11.5666151,133.786585,244.8207397,270.6651306,231.8194504,215.486969,227.460453
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021282163711_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-09 16:37:11 UTC,18487,008,0601,True,396917.0,123.6681061,332.9944153,"(123.6681061,332.9944153)",232.1597137,39.596962,1567.9193977,258.641571,332.9944153,232.682663,123.6681061,203.6757507
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021283154955_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-10 15:49:55 UTC,18502,008,0601,True,3426.0,80.9462433,209.0481262,"(80.9462433,209.0481262)",161.6780853,19.8883514,395.546523,175.4179153,209.0481262,163.1905365,119.306694,152.9459343
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021283222011_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-10 22:20:11 UTC,18506,010,0601,True,640519.0,49.5615883,423.0289001,"(49.5615883,423.0289001)",240.6769562,67.7428741,4589.0969975,299.8987732,423.0289001,246.6870422,49.5615883,182.9731293
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021290133243_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-17 13:32:43 UTC,18610,009,0601,True,284.0,209.0348816,231.734726,"(209.0348816,231.734726)",218.8501434,3.6286123,13.1668271,220.9859123,226.6562805,218.0171585,211.6978912,216.50914
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021291191607_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-18 19:16:07 UTC,18629,008,0601,True,709325.0,21.4667759,190.5005341,"(21.4667759,190.5005341)",105.9655991,26.5627346,705.5788696,123.5696869,167.3505859,110.9848099,50.5812454,94.3740234
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021299161153_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-10-26 16:11:53 UTC,18752,008,0601,True,140777.0,71.2921143,212.4142303,"(71.2921143,212.4142303)",173.4419403,12.7153721,161.6806873,180.3553467,195.225769,175.5220032,155.5523682,170.4338989
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021334195336_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-11-30 19:53:36 UTC,19297,009,0601,True,416176.0,48.6192551,156.0730743,"(48.6192551,156.0730743)",110.675293,12.2579355,150.2569833,118.7785187,140.1742859,110.056221,83.1217194,104.5143337
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2021334195428_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2021-11-30 19:54:28 UTC,19297,010,0601,True,270.0,121.2282867,132.3836975,"(121.2282867,132.3836975)",126.5131683,2.0701962,4.2857121,127.7550983,131.8893585,126.5861702,121.2282867,124.9398155
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022109122223_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-19 12:22:23 UTC,21464,005,0601,True,199363.0,35.7074356,222.8105774,"(35.7074356,222.8105774)",99.7248764,21.9035244,479.7643811,112.6114578,151.2555847,102.6139069,48.2200584,86.8437653
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022109185146_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-19 18:51:46 UTC,21468,008,0601,True,78159.0,72.2799301,210.6108246,"(72.2799301,210.6108246)",137.6351318,17.4518337,304.5665004,148.8269348,179.5302429,139.5190582,97.6328735,128.3424072
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022112180256_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-22 18:02:56 UTC,21514,009,0601,True,40420.0,85.9776154,316.9691162,"(85.9776154,316.9691162)",168.0934448,42.9194756,1842.081382,207.7939148,316.9691162,176.423233,85.9776154,129.7488594
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022113171432_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-23 17:14:32 UTC,21529,008,0601,True,46979.0,100.5235977,282.7373962,"(100.5235977,282.7373962)",179.2881012,27.8443985,775.3105277,200.1965332,263.9195251,181.7625122,100.5235977,156.5486755
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022116162701_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-26 16:27:01 UTC,21576,011,0601,True,574133.0,55.6214981,236.3927765,"(55.6214981,236.3927765)",152.4346313,22.5497665,508.491971,169.1312561,218.0668335,153.6749725,87.4829788,136.4624329
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022117153834_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-04-27 15:38:34 UTC,21591,010,0601,True,640516.0,58.8373718,258.7563171,"(58.8373718,258.7563171)",166.586319,31.9297104,1019.5064055,192.4385071,258.7563171,169.9195709,69.0624466,143.0806046
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022143224457_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-05-23 22:44:57 UTC,21999,008,0601,True,620661.0,21.7957478,217.9346313,"(21.7957478,217.9346313)",113.1166916,24.2730637,589.1816194,129.4659119,172.339798,117.3285904,57.9106712,100.8435898
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022143224549_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-05-23 22:45:49 UTC,21999,009,0601,True,3572.0,47.4404602,145.2039337,"(47.4404602,145.2039337)",121.4770584,16.4457283,270.4619794,132.091629,145.2039337,125.4643135,95.8806839,117.5974808
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022150202131_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-05-30 20:21:31 UTC,22106,009,0601,True,10855.0,81.0464859,255.2941132,"(81.0464859,255.2941132)",189.8764801,31.6833305,1003.8334338,209.1602478,250.2920685,197.0134125,140.1503754,181.5506897
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022150202223_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-05-30 20:22:23 UTC,22106,010,0601,True,676768.0,30.3061848,306.8834229,"(30.3061848,306.8834229)",150.455658,36.969162,1366.718938,178.7123108,263.0088501,148.8308105,38.1545258,122.4842625
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETdaily_doy2022154184545_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETdaily,aid0001,2022-06-03 18:45:45 UTC,22167,008,0601,True,393165.0,16.177845,252.7022247,"(16.177845,252.7022247)",122.3867874,28.5265045,813.7614599,140.8161163,190.2273102,124.1739731,58.4651642,107.8742981
